dataset,treatment,budget,time
healthCloseIsses12mths0011-easy,base,,21.4799
healthCloseIsses12mths0011-easy,bonr,15,584.7334
healthCloseIsses12mths0011-easy,bonr,40,974.0254
healthCloseIsses12mths0011-easy,bonr,9,370.435
healthCloseIsses12mths0011-easy,EI,15,1119.9036
healthCloseIsses12mths0011-easy,EI,40,1804.201
healthCloseIsses12mths0011-easy,EI,9,810.4887
healthCloseIsses12mths0011-easy,ExpProgressive,15,589.86
healthCloseIsses12mths0011-easy,ExpProgressive,40,966.562
healthCloseIsses12mths0011-easy,ExpProgressive,9,370.2301
healthCloseIsses12mths0011-easy,PI,15,1106.8292
healthCloseIsses12mths0011-easy,PI,40,1775.6683
healthCloseIsses12mths0011-easy,PI,9,822.9244
healthCloseIsses12mths0011-easy,rand,15,25.3508
healthCloseIsses12mths0011-easy,rand,40,25.2384
healthCloseIsses12mths0011-easy,rand,9,24.1547
healthCloseIsses12mths0011-easy,SimAnnealing,15,579.7539
healthCloseIsses12mths0011-easy,SimAnnealing,40,964.7722
healthCloseIsses12mths0011-easy,SimAnnealing,9,372.2197
healthCloseIsses12mths0011-easy,UCB,15,1120.7846
healthCloseIsses12mths0011-easy,UCB,40,1747.7425
healthCloseIsses12mths0011-easy,UCB,9,791.6663
HSMGP_num,b2,15,568.8503
HSMGP_num,b2,40,978.8901
HSMGP_num,b2,9,357.4662
HSMGP_num,base,,12.7073
HSMGP_num,bonr,15,578.1913
HSMGP_num,bonr,40,994.3048
HSMGP_num,bonr,9,357.2419
HSMGP_num,EI,15,769.5655
HSMGP_num,EI,40,1248.2687
HSMGP_num,EI,9,483.3639
HSMGP_num,ExpProgressive,15,575.7228
HSMGP_num,ExpProgressive,40,993.5115
HSMGP_num,ExpProgressive,9,359.3448
HSMGP_num,PI,15,768.0807
HSMGP_num,PI,40,1235.2159
